ticker,index_name,region,country,index_type,year,year_start,year_end,trading_days,annual_return_pct,is_partial_year
^FCHI,CAC 40,Europe,France,Equity,2004,2004-01-02,2004-12-31,259,6.237763018112408,False
^FCHI,CAC 40,Europe,France,Equity,2005,2005-01-03,2005-12-30,257,22.293086149979757,False
^FCHI,CAC 40,Europe,France,Equity,2006,2006-01-02,2006-12-29,255,16.547909463840703,False
^FCHI,CAC 40,Europe,France,Equity,2007,2007-01-02,2007-12-31,255,-0.06461499147767391,False
^FCHI,CAC 40,Europe,France,Equity,2008,2008-01-02,2008-12-31,256,-42.02231837269138,False
^FCHI,CAC 40,Europe,France,Equity,2009,2009-01-02,2009-12-31,256,17.513266809180237,False
^FCHI,CAC 40,Europe,France,Equity,2010,2010-01-04,2010-12-30,256,-4.0660483792535835,False
^FCHI,CAC 40,Europe,France,Equity,2011,2011-01-03,2011-12-30,257,-18.997093677319633,False
^FCHI,CAC 40,Europe,France,Equity,2012,2012-01-03,2012-12-28,253,11.550197477529412,False
^FCHI,CAC 40,Europe,France,Equity,2013,2013-01-02,2013-12-31,255,15.05170889548355,False
